TYPE,YTD CURTAILED MWH
08/11,12 ExDispatch,,System,SOLR,0,
08/11,13 ExDispatch,,Local,SOLR,0,1
08/11,13 ExDispatch,,System,SOLR,0,
08/11,15 Economic,,Local,SOLR,10,73
08/11,16 Economic,,Local,SOLR,15,100
08/11,17 ExDispatch,,Local,SOLR,0,0
08/11,17 ExDispatch,,System,SOLR,0,
08/11,18 Economic,,System,SOLR,0,2
08/11,18 ExDispatch,,System,SOLR,0,0
08/11,19 Economic,,Local,SOLR,0,1
08/11,19 Economic,,System,SOLR,0,
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,281"
LocalExDispatch,"1,414"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,060"
SystemExDispatch,526
SystemSelfSchCut,828
TOTAL,"312,810"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/12,9 ExDispatch,,Local,SOLR,0,
08/12,9 ExDispatch,,System,SOLR,0,0
08/12,10 Economic,,Local,SOLR,6,34
08/12,11 Economic,,Local,SOLR,2,19
08/12,11 Economic,,System,SOLR,1,
08/12,11 ExDispatch,,Local,SOLR,0,
08/12,11 ExDispatch,,System,SOLR,0,0
08/12,12 ExDispatch,,Local,SOLR,0,1
08/12,12 ExDispatch,,System,SOLR,0,
08/12,13 ExDispatch,,Local,SOLR,0,1
08/12,13 ExDispatch,,System,SOLR,0,
08/12,17 ExDispatch,,Local,SOLR,0,
08/12,17 ExDispatch,,System,SOLR,0,0
08/12,18 Economic,,System,SOLR,0,3
08/12,19 Economic,,Local,SOLR,1,6
08/12,19 Economic,,System,SOLR,1,
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,380"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,247"
SystemExDispatch,526
SystemSelfSchCut,828
TOTAL,"313,097"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/13,9 Economic,,System,SOLR,78,214
08/13,9 ExDispatch,,Local,SOLR,0,
08/13,9 ExDispatch,,System,SOLR,0,0
08/13,10 Economic,,Local,SOLR,98,
08/13,10 Economic,,Local,WIND,0,
08/13,10 Economic,,System,SOLR,107,353
08/13,10 Economic,,System,WIND,0,5
08/13,11 Economic,,Local,SOLR,0,0
08/13,11 ExDispatch,,Local,SOLR,0,0
08/13,11 ExDispatch,,System,SOLR,0,
08/13,12 Economic,,Local,SOLR,0,
08/13,12 ExDispatch,,Local,SOLR,0,1
08/13,13 ExDispatch,,Local,SOLR,0,0
08/13,17 ExDispatch,,Local,SOLR,0,
08/13,17 ExDispatch,,System,SOLR,0,0
08/13,18 Economic,,System,SOLR,0,3
08/13,19 Economic,,Local,SOLR,1,4
08/13,19 Economic,,System,SOLR,0,
TYPE,YTD CURTAILED MWH
LocalEconomic,"98,608"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,248"
SystemExDispatch,526
SystemSelfSchCut,828
TOTAL,"314,325"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/14,8 ExDispatch,,System,SOLR,0,0
08/14,9 Economic,,Local,SOLR,130,372
08/14,9 ExDispatch,,Local,SOLR,0,
08/14,9 ExDispatch,,System,SOLR,0,0
08/14,10 Economic,,Local,SOLR,333,477
08/14,10 Economic,,Local,WIND,5,58
08/14,11 Economic,,Local,SOLR,290,714
08/14,11 Economic,,Local,WIND,1,1
08/14,11 ExDispatch,,Local,SOLR,0,
08/14,11 ExDispatch,,System,SOLR,0,0
08/14,12 Economic,,Local,SOLR,75,143
08/14,12 ExDispatch,,System,SOLR,0,
08/14,13 Economic,,Local,SOLR,103,188
08/14,14 Economic,,Local,SOLR,120,250
08/14,15 Economic,,Local,SOLR,165,218
08/14,16 ExDispatch,,Local,SOLR,0,0
08/14,17 Economic,,Local,SOLR,1,7
08/14,17 ExDispatch,,System,SOLR,0,
08/14,19 Economic,,System,SOLR,1,8
08/14,20 Economic,,Local,WIND,4,45
08/14,21 Economic,,Local,WIND,3,37
TYPE,YTD CURTAILED MWH
LocalEconomic,"98,741"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,250"
SystemExDispatch,526
SystemSelfSchCut,828
TOTAL,"314,461"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/15,8 Economic,,Local,SOLR,0,0
08/15,9 ExDispatch,,Local,SOLR,0,0
08/15,9 ExDispatch,,System,SOLR,0,
08/15,10 Economic,,Local,SOLR,83,359
08/15,10 Economic,,Local,WIND,1,2
08/15,11 Economic,,Local,SOLR,34,117
08/15,11 ExDispatch,,Local,SOLR,0,
08/15,11 ExDispatch,,System,SOLR,0,
08/15,12 Economic,,System,WIND,1,18
08/15,12 ExDispatch,,Local,SOLR,0,
08/15,12 ExDispatch,,System,SOLR,0,0
08/15,13 ExDispatch,,Local,SOLR,0,0
08/15,16 Economic,,Local,SOLR,10,126
08/15,16 Economic,,Local,WIND,0,2
08/15,17 Economic,,Local,SOLR,3,26
08/15,17 Economic,,System,SOLR,1,9
08/15,17 ExDispatch,,Local,SOLR,0,
08/15,17 ExDispatch,,System,SOLR,0,
08/15,18 Economic,,Local,SOLR,0,1
08/15,19 Economic,,Local,SOLR,1,3
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,292"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"209,256"
SystemExDispatch,526
SystemSelfSchCut,828
TOTAL,"315,020"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/16,9 Economic,,Local,SOLR,48,181
08/16,9 ExDispatch,,Local,SOLR,0,
08/16,9 ExDispatch,,System,SOLR,0,0
08/16,10 Economic,,Local,SOLR,209,324
08/16,11 Economic,,Local,SOLR,5,60
08/16,12 Economic,,Local,SOLR,0,1
08/16,12 ExDispatch,,Local,SOLR,0,0
08/16,12 ExDispatch,,System,SOLR,0,
08/16,17 Economic,,Local,SOLR,1,7
08/16,18 Economic,,Local,SOLR,0,1
08/16,19 Economic,,Local,SOLR,1,3
08/16,19 Economic,,System,SOLR,0,
08/16,20 Economic,,Local,WIND,4,30
08/16,21 Economic,,Local,WIND,45,109
08/16,21 Economic,,System,WIND,6,
08/16,22 Economic,,Local,WIND,99,173
08/16,22 SelfSchCut,,Local,WIND,0,2
08/16,23 Economic,,Local,WIND,135,183
08/16,24 Economic,,Local,WIND,5,44
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,497"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"209,257"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"315,225"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/17,3 Economic,,Local,WIND,39,66
08/17,4 Economic,,Local,WIND,132,172
08/17,5 Economic,,Local,WIND,18,67
08/17,9 ExDispatch,,Local,SOLR,0,0
08/17,12 ExDispatch,,Local,SOLR,0,
08/17,12 ExDispatch,,System,SOLR,0,1
08/17,14 ExDispatch,,Local,SOLR,0,0
08/17,14 ExDispatch,,System,SOLR,0,
08/17,15 ExDispatch,,System,SOLR,0,1
08/17,17 Economic,,Local,WIND,0,4
08/17,18 Economic,,Local,SOLR,12,133
08/17,18 Economic,,Local,WIND,1,5
08/17,18 ExDispatch,,Local,SOLR,0,
08/17,19 Economic,,Local,SOLR,1,4
08/17,19 Economic,,System,SOLR,0,
08/17,20 Economic,,Local,WIND,1,9
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,497"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"209,257"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"315,225"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
08/18,9 ExDispatch,,Local,SOLR,0,,0
08/18,9 ExDispatch,,System,SOLR,0,,
08/18,18 ExDispatch,,System,SOLR,0,,0
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,516"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"209,257"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"315,245"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/19,9 ExDispatch,,Local,SOLR,0,0
08/19,17 Economic,,Local,SOLR,19,104
08/19,18 ExDispatch,,Local,SOLR,0,0
08/19,18 ExDispatch,,System,SOLR,0,
08/19,19 Economic,,Local,SOLR,1,3
08/19,19 Economic,,System,SOLR,0,
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,516"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"209,257"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"315,245"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
08/20,9 ExDispatch,,Local,SOLR,0,,
08/20,9 ExDispatch,,System,SOLR,0,,0
08/20,18 ExDispatch,,System,SOLR,0,,0
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,633"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"210,094"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"316,199"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/21,8 Economic,,System,SOLR,0,1
08/21,9 Economic,,Local,SOLR,38,149
08/21,9 ExDispatch,,Local,SOLR,0,0
08/21,9 ExDispatch,,System,SOLR,0,
08/21,10 Economic,,Local,SOLR,69,179
08/21,12 Economic,,Local,SOLR,3,
08/21,12 Economic,,System,SOLR,787,1680
08/21,12 Economic,,System,WIND,5,1
08/21,13 Economic,,Local,SOLR,4,
08/21,13 Economic,,System,SOLR,44,429
08/21,13 Economic,,System,WIND,0,1
08/21,14 Economic,,Local,SOLR,1,
08/21,14 Economic,,System,SOLR,1,9
08/21,15 Economic,,Local,SOLR,3,37
08/21,16 Economic,,System,SOLR,1,5
08/21,18 ExDispatch,,Local,SOLR,0,0
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,694"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"210,094"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"316,259"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/22,9 ExDispatch,,System,SOLR,0,0
08/22,10 Economic,,Local,SOLR,2,20
08/22,11 Economic,,Local,SOLR,20,125
08/22,12 Economic,,Local,SOLR,12,61
08/22,13 Economic,,Local,SOLR,3,34
08/22,14 Economic,,Local,SOLR,0,1
08/22,15 Economic,,Local,SOLR,6,19
08/22,16 Economic,,Local,SOLR,3,8
08/22,16 ExDispatch,,Local,SOLR,0,
08/22,16 ExDispatch,,System,SOLR,0,
08/22,17 Economic,,Local,SOLR,15,17
08/22,18 ExDispatch,,Local,SOLR,0,0
TYPE,YTD CURTAILED MWH
LocalEconomic,"99,736"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,702"
SystemEconomic,"210,095"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"316,303"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/23,8 Economic,,Local,SOLR,1,13
08/23,9 Economic,,Local,SOLR,28,138
08/23,9 ExDispatch,,System,SOLR,0,
08/23,13 Economic,,Local,SOLR,1,1
08/23,14 Economic,,Local,SOLR,0,0
08/23,15 Economic,,Local,SOLR,8,80
08/23,16 Economic,,System,SOLR,1,11
08/23,16 ExDispatch,,Local,SOLR,0,0
08/23,18 ExDispatch,,Local,SOLR,0,
08/23,18 ExDispatch,,System,SOLR,0,0
08/23,24 Economic,,Local,WIND,4,19
TYPE,YTD CURTAILED MWH
LocalEconomic,"100,814"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,705"
SystemEconomic,"210,096"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"317,386"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/24,1 Economic,,Local,WIND,153,179
08/24,1 SelfSchCut,,Local,WIND,2,
08/24,2 Economic,,Local,WIND,79,140
08/24,3 Economic,,Local,WIND,148,185
08/24,3 SelfSchCut,,Local,WIND,1,4
08/24,4 Economic,,Local,WIND,130,144
08/24,5 Economic,,Local,WIND,125,134
08/24,6 Economic,,Local,WIND,123,140
08/24,7 Economic,,Local,WIND,109,145
08/24,8 Economic,,Local,WIND,66,122
08/24,8 Economic,,System,WIND,1,
08/24,9 Economic,,Local,WIND,40,84
08/24,9 ExDispatch,,System,SOLR,0,
08/24,10 Economic,,Local,WIND,7,27
08/24,11 Economic,,Local,SOLR,0,0
08/24,13 Economic,,Local,SOLR,0,0
08/24,14 Economic,,Local,SOLR,42,92
08/24,15 Economic,,Local,SOLR,20,106
08/24,16 Economic,,Local,SOLR,37,158
08/24,16 ExDispatch,,System,SOLR,0,
08/24,18 ExDispatch,,Local,SOLR,0,0
08/24,19 Economic,,Local,SOLR,0,1
TYPE,YTD CURTAILED MWH
LocalEconomic,"101,509"
LocalExDispatch,"1,415"
LocalSelfSchCut,"3,705"
SystemEconomic,"210,096"
SystemExDispatch,527
SystemSelfSchCut,828
TOTAL,"318,080"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/25,8 Economic,,Local,SOLR,62,212
08/25,8 Economic,,Local,WIND,0,1
08/25,9 Economic,,Local,SOLR,18,207
08/25,10 Economic,,Local,SOLR,104,275
08/25,11 Economic,,Local,SOLR,199,334
08/25,12 Economic,,Local,SOLR,171,357
08/25,13 Economic,,Local,SOLR,45,122
08/25,14 Economic,,Local,SOLR,5,36
08/25,15 Economic,,Local,SOLR,55,203
08/25,16 Economic,,Local,SOLR,6,32
08/25,16 Economic,,System,SOLR,0,
08/25,16 ExDispatch,,Local,SOLR,0,
